Name;Abkuerzung;StoppingPoint;Position[km];RealeKilometer[km];MaximaleGeschwindigkeit[km/h];Radius[m];Neigung[o/oo];Weiche[-];Leistungsaufnahme[-];Tunnel[-];Ueberhoehung[mm] 
Stuttgart Hbf;Stuggi Hbf;1;0;0;50;0;0;;1;0;0
;;0;0.01;0.01;50;0;0;;1;0;0
;;0;0.02;0.02;50;0;0;;1;0;0
;;0;0.03;0.03;50;0;0;;1;0;0
;;0;0.04;0.04;50;0;0;;1;0;0
;;0;0.05;0.05;50;0;0;;1;0;0
;;0;0.06;0.06;50;0;0;;1;0;0
;;0;0.07;0.07;50;0;0;;1;0;0
;;0;0.08;0.08;50;0;0;;1;0;0
;;0;0.09;0.09;50;0;0;;1;0;0
;;0;0.1;0.1;50;0;0;;1;0;0
;;0;0.11;0.11;50;0;0;;1;0;0
;;0;0.12;0.12;50;0;0;;1;0;0
;;0;0.13;0.13;50;0;0;;1;0;0
;;0;0.14;0.14;50;0;0;;1;0;0
;;0;0.15;0.15;50;0;0;;1;0;0
;;0;0.16;0.16;50;0;0;;1;0;0
;;0;0.17;0.17;50;0;0;;1;0;0
;;0;0.18;0.18;50;0;0;;1;0;0
;;0;0.19;0.19;50;0;0;;1;0;0
;;0;0.2;0.2;50;0;0;;1;0;0
;;0;0.21;0.21;50;0;0;;1;0;0
;;0;0.22;0.22;50;0;0;;1;0;0
;;0;0.23;0.23;50;0;0;;1;0;0
;;0;0.24;0.24;50;0;0;;1;0;0
;;0;0.25;0.25;50;0;0;;1;0;0
;;0;0.26;0.26;50;0;0;;1;0;0
;;0;0.27;0.27;50;0;0;;1;0;0
;;0;0.28;0.28;50;0;0;;1;0;0
;;0;0.29;0.29;50;0;0;;1;0;0
;;0;0.3;0.3;50;0;0;;1;0;0
;;0;0.31;0.31;50;0;0;;1;0;0
;;0;0.32;0.32;50;0;0;;1;0;0
;;0;0.33;0.33;50;0;0;;1;0;0
;;0;0.34;0.34;50;0;0;;1;0;0
;;0;0.35;0.35;50;0;0;;1;0;0
;;0;0.36;0.36;50;0;0;;1;0;0
;;0;0.37;0.37;50;0;0;;1;0;0
;;0;0.38;0.38;50;0;0;;1;0;0
;;0;0.39;0.39;50;0;0;;1;0;0
;;0;0.4;0.4;50;5120;0;;1;0;0
;;0;0.41;0.41;50;5120;0;;1;0;0
;;0;0.42;0.42;50;5120;0;;1;0;0
;;0;0.43;0.43;50;5120;0;;1;0;0
;;0;0.44;0.44;50;5120;0;;1;0;0
;;0;0.45;0.45;50;5120;0;;1;0;0
;;0;0.46;0.46;50;5120;0;;1;0;0
;;0;0.47;0.47;50;5120;0;;1;0;0
;;0;0.48;0.48;50;5120;0;;1;0;0
;;0;0.49;0.49;50;294;0;;1;0;0
;;0;0.5;0.5;50;294;0;;1;0;0
;;0;0.51;0.51;50;294;0;;1;0;0
;;0;0.52;0.52;50;600;0;;1;0;0
;;0;0.53;0.53;50;600;0;;1;0;0
;;0;0.54;0.54;50;600;0;;1;0;0
;;0;0.55;0.55;50;0;0;;1;0;0
;;0;0.56;0.56;50;500;0;;1;0;0
;;0;0.57;0.57;50;500;0;;1;0;0
;;0;0.58;0.58;50;500;0;;1;0;0
;;0;0.59;0.59;50;0;0;;1;0;0
;;0;0.6;0.6;50;0;0;;1;0;0
;;0;0.61;0.61;50;0;0;;1;0;0
;;0;0.62;0.62;50;0;0;;1;0;0
;;0;0.63;0.63;50;0;0;;1;0;0
;;0;0.64;0.64;50;0;0;;1;0;0
;;0;0.65;0.65;50;0;0;;1;0;0
;;0;0.66;0.66;50;0;-4.34;;1;0;0
;;0;0.67;0.67;50;0;-4.34;;1;0;0
;;0;0.68;0.68;50;500;-4.34;;1;0;0
