#Betriebsstelle;;Haltestellenmuster [-];Position [km];Reale Kilometer [km];Maximale Geschwindigkeit [km/h];Radius [m];Neigung [o/oo];Weiche [-];Leistungsaufnahme [-];Tunnel [-];?berh?hung [mm] 
#Langname ;AbkÅrzung;;;;;;;;;;
Ulm Hbf;UH;1;0,01;0,01;70;500;0;;1;0;0
;;0;0,02;0,02;70;500;0;;1;0;0
;;0;0,03;0,03;70;500;0;;1;0;0
;;0;0,04;0,04;70;500;0;;1;0;0
;;0;0,05;0,05;70;500;0;;1;0;0
;;0;0,06;0,06;70;500;0;;1;0;0
;;0;0,07;0,07;70;500;0;;1;0;0
;;0;0,08;0,08;70;500;0;;1;0;0
;;0;0,09;0,09;70;500;0;;1;0;0
;;0;0,1;0,1;70;500;0;;1;0;0
;;0;0,11;0,11;70;500;0;;1;0;0
;;0;0,12;0,12;70;0;0;;1;0;0
;;0;0,13;0,13;70;0;0;;1;0;0
;;0;0,14;0,14;70;0;0;;1;0;0
;;0;0,15;0,15;70;0;0;;1;0;0
;;0;0,16;0,16;70;0;0;;1;0;0
;;0;0,17;0,17;70;0;0;;1;0;0
;;0;0,18;0,18;70;0;0;;1;0;0
;;0;0,19;0,19;70;0;0;;1;0;0
;;0;0,2;0,2;70;0;0;;1;0;0
;;0;0,21;0,21;70;0;0;;1;0;0
;;0;0,22;0,22;70;0;0;;1;0;0
;;0;0,23;0,23;70;0;0;;1;0;0
;;0;0,24;0,24;70;0;0;;1;0;0
;;0;0,25;0,25;70;0;0;;1;0;0
;;0;0,26;0,26;70;0;0;;1;0;0
;;0;0,27;0,27;70;0;0;;1;0;0
;;0;0,28;0,28;70;0;0;;1;0;0
;;0;0,29;0,29;70;0;0;;1;0;0
;;0;0,3;0,3;70;0;0;;1;0;0
;;0;0,31;0,31;70;0;0;;1;0;0
;;0;0,32;0,32;70;0;0;;1;0;0
;;0;0,33;0,33;70;0;0;;1;0;0
;;0;0,34;0,34;70;0;0;;1;0;0
;;0;0,35;0,35;70;0;0;;1;0;0
;;0;0,36;0,36;70;0;0;;1;0;0
;;0;0,37;0,37;70;0;0;;1;0;0
;;0;0,38;0,38;70;0;0;;1;0;0
;;0;0,39;0,39;70;0;0;;1;0;0
;;0;0,4;0,4;70;0;0;;1;0;0
;;0;0,41;0,41;70;0;0;;1;0;0
;;0;0,42;0,42;70;0;0;;1;0;0
;;0;0,43;0,43;70;0;0;;1;0;0
;;0;0,44;0,44;70;0;0;;1;0;0
;;0;0,45;0,45;70;0;0;;1;0;0
;;0;0,46;0,46;70;0;0;;1;0;0
;;0;0,47;0,47;70;0;0;;1;0;0
;;0;0,48;0,48;70;0;0;;1;0;0
;;0;0,49;0,49;70;0;0;;1;0;0
;;0;0,5;0,5;70;0;0;;1;0;0
;;0;0,51;0,51;70;0;0;;1;0;0
;;0;0,52;0,52;70;0;0;;1;0;0
;;0;0,53;0,53;70;0;0;;1;0;0
;;0;0,54;0,54;70;0;0;;1;0;0
;;0;0,55;0,55;70;0;0;;1;0;0
;;0;0,56;0,56;70;0;0;;1;0;0
;;0;0,57;0,57;70;0;0;;1;0;0
;;0;0,58;0,58;70;450;0;;1;0;0
;;0;0,59;0,59;70;450;0;;1;0;0
;;0;0,6;0,6;70;450;0;;1;0;0
;;0;0,61;0,61;70;450;0;;1;0;0
;;0;0,62;0,62;70;450;0;;1;0;0
;;0;0,63;0,63;70;450;0;;1;0;0
;;0;0,64;0,64;70;450;0;;1;0;0
;;0;0,65;0,65;70;450;0;;1;0;0
;;0;0,66;0,66;70;450;0;;1;0;0
;;0;0,67;0,67;70;450;0;;1;0;0
;;0;0,68;0,68;70;450;0;;1;0;0
;;0;0,69;0,69;70;450;0;;1;0;0
;;0;0,7;0,7;70;450;15,39;;1;0;0
;;0;0,71;0,71;70;450;15,39;;1;0;0
;;0;0,72;0,72;70;450;15,39;;1;0;0
;;0;0,73;0,73;70;450;15,39;;1;0;0
;;0;0,74;0,74;70;450;15,39;;1;0;0
;;0;0,75;0,75;70;450;15,39;;1;0;0
;;0;0,76;0,76;70;450;15,39;;1;0;0
;;0;0,77;0,77;70;450;15,39;;1;0;0
;;0;0,78;0,78;70;450;15,39;;1;0;0
;;0;0,79;0,79;70;450;15,39;;1;0;0
